"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,9.307692,0,21.45205,0,11,9,12,0,0,0,-0.683781229648494,1,0,0,0,1,1,1,0,9,12,0
1,12.49659,0,17.00548,0,9,12,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,12,12,0
1,9.307692,0,20.13151,0,11,12,12,1,10.75,1,1.11846747262155,0,0,0,0,1,1,1,1,12,12,1
1,12.49659,0,21.23014,0,12,12,10,1,13,1,0.716197844441521,0,0,0,0,0,1,1,0,12,10,0
1,9.307692,0,17.92603,0,11,12,12,1,2.75,1,-0.281960312710158,0,0,1,0,0,1,1,0,12,12,0
1,9.307692,0,19.03014,0,12,11.2710258551237,9.30939466475935,0,0,0,-0.683781229648494,0,0,0,0,0,0,0,0,0,0,0
1,9.307692,1,21.19726,0,8,11,6,0,0,0,-0.683781229648494,0,1,1,1,1,1,1,1,11,6,1
1,19.99454,1,20.82192,0,10,12,12,0,0,0,-0.683781229648494,0,0,1,0,0,1,1,0,12,12,0
1,12.49659,0,17.42192,0,10,14,16,1,13,1,0.795619734221628,0,0,0,0,1,1,1,1,14,16,1
1,9.307692,1,16.64384,0,9,9.447112198705,9,0,0,0,-0.683781229648494,1,0,0,0,1,0,1,1,0,9,1
1,9.307692,0,19.74247,0,8,11,10.1914133727948,0,4.25,1,0.286108119276368,1,0,0,0,0,1,0,0,11,0,0
1,12.49659,0,17,1,8.06273776405539,9.54610102138829,11.5199295577729,0,4.90962699378665,1,0.413439086695474,0,0,1,0,0,0,0,0,0,0,0
1,12.49659,0,23,0,10.9729984112022,9.18838386962172,10.5750115365512,1,9.08237756367447,1,0.815481309597558,0,0,0,1,1,0,0,0,0,0,0
1,9.307692,0,20.09863,0,5,5,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,0,5,12,0
1,6.467032,0,18.98082,0,10,8.90296541614689,12.7809726316223,0,0,0,-0.683781229648494,0,0,1,0,0,0,0,1,0,0,0
1,12.49659,0,17.8274,0,11,12,12,0,5.76537781333611,1,0.933146395845718,1,0,1,1,1,1,1,1,12,12,1
1,6.467032,0,16.1452,0,9,8,6.77729210470648,0,0,0,-0.683781229648494,0,0,0,0,0,1,0,1,8,0,0
1,6.467032,1,18.36712,1,12,15.3695869185477,17.1030493703661,1,13,1,0.731678382280017,0,0,0,0,1,0,0,0,0,0,0
1,9.307692,0,18.05206,0,10,8,8,0,0,0,-0.683781229648494,1,0,0,0,1,1,1,1,8,8,1
1,12.49659,0,20.44384,0,11,12,18,0,2.5,1,-0.0376370416069483,1,0,0,0,0,1,1,1,12,18,0
1,9.307692,1,21.03836,0,12,11,5.35347051650376,0,0,0,-0.683781229648494,0,0,0,0,0,1,0,1,11,0,0
1,9.307692,1,17.76164,0,10,12,12,0,1.75,1,-0.496892997482311,0,0,0,0,0,1,1,1,12,12,0
1,12.49659,1,16.52329,0,8,10,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,10,12,0
1,9.307692,1,16.41644,0,11,11,10,1,12.0816425486745,1,1.16954154568872,1,0,0,0,1,1,1,0,11,10,0
1,9.307692,1,19.56712,0,11,8.15622758848429,10.5539171252328,0,1.5,1,-0.324363525050384,1,0,0,0,0,0,0,1,0,0,0
1,9.307692,0,19.09589,0,10,12,12,0,3.18468174825073,1,0.512660886519046,0,0,0,0,0,1,1,1,12,12,0
1,19.99454,1,19.24384,0,11,8,5,0,0,0,-0.683781229648494,0,1,0,0,1,1,1,0,8,5,0
1,19.99454,1,16.34521,0,8,12,12,0,2.5,1,-0.343882464064139,0,0,0,0,0,1,1,1,12,12,0
1,9.307692,1,19.72877,0,11,12,10.2449606084059,0,0.5,1,-0.554552392040185,0,1,1,0,1,1,0,0,12,0,0
1,9.307692,0,19.63562,0,11,12,12,1,6,1,0.298223322802147,0,0,0,0,1,1,1,0,12,12,0
1,12.49659,0,16.2,0,8,10.5794753444158,10,0,4.75,1,-0.302993652164635,1,0,1,0,1,0,1,1,0,10,1
1,9.307692,0,17.43836,0,10,0,7.50486985915184,0,0,0,-0.683781229648494,0,0,1,0,0,1,0,0,0,0,0
1,6.467032,1,19.95617,1,11,14,10,0,10,1,-0.369683360461631,0,0,0,1,1,1,1,1,14,10,1
1,9.307692,0,17.42466,0,9,12,11.3640186718585,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,0,12,0,0
1,19.99454,1,18.03836,0,9,11.3790596949869,14.1270202634733,1,1.5,1,-0.65012788652133,0,0,1,0,0,0,0,0,0,0,0
1,6.467032,1,21.32329,1,10,15.0824046661321,12,0,0,0,-0.683781229648494,0,0,0,0,0,0,1,1,0,12,0
1,9.307692,0,22.64384,0,11,12,12,0,0,0,-0.683781229648494,0,0,0,1,1,1,1,1,12,12,1
1,9.307692,1,20.04383,0,12,11.050177564408,12.6699319356039,0,0,0,-0.683781229648494,0,0,0,0,1,0,0,1,0,0,1
1,9.307692,1,16.12603,0,9,12,12,0,0,0,-0.683781229648494,1,0,0,0,0,1,1,0,12,12,0
1,9.307692,0,16.28493,0,10,12,8.61682115543267,0,0,0,-0.683781229648494,0,0,0,0,0,1,0,1,12,0,0
1,9.307692,1,20.12329,0,7,8.91573448684908,8.29912486218505,0,4,1,0.193449247866243,0,0,1,0,0,0,0,0,0,0,0
1,12.49659,0,17.08219,0,9,12,8.53343412128878,0,1.75,1,-0.429361955607135,0,0,1,0,1,1,0,1,12,0,1
1,9.307692,0,18.50411,0,10,12,11.9161206704231,0,2.25,1,-0.113693597074339,0,0,0,0,1,1,0,1,12,0,1
1,9.307692,1,16.16164,0,7,12,10,0,0,0,-0.683781229648494,1,0,0,0,1,1,1,1,12,10,1
1,12.49659,0,22.85753,0,8,11.2799295064543,12,0,7.76294368641645,1,0.540571181180472,1,0,0,0,1,0,1,1,0,12,1
1,9.307692,1,17.33973,0,12,14,12.003398519947,0,1.25,1,-0.577212309745808,1,0,0,0,1,1,0,1,14,0,1
1,12.49659,1,21,1,11.4357853861080,13.1507973490650,9.73614763959255,0,8.52143575257441,1,1.09391639193311,0,0,0,0,1,0,0,0,0,0,0
1,12.49659,1,21.78904,1,9,12,12,0,0,0,-0.683781229648494,0,1,0,0,1,1,1,1,12,12,1
1,6.467032,0,24.30411,0,12,9,12,0,1.25,1,-0.323914813808689,0,0,0,1,1,1,1,1,9,12,1
1,6.467032,0,19.10137,0,10,12,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,12,12,1
